territory_id,state,city,pattern,status,date_from,date_to,url
2925501,BA,Prado,doem,atual,2013-02-04,2024-11-01,http://doem.org.br/ba/prado/diarios
2926608,BA,Ribeira do Pombal,doem,descontinuado,2014-01-16,2021-03-12,https://doem.org.br/ba/ribeiradopombal/diarios
2927101,BA,Rodelas,doem,descontinuado,2013-01-29,2018-08-16,http://doem.org.br/ba/rodelas/diarios
2927705,BA,Santa Cruz Cabrália,doem,atual,2017-01-09,2024-10-31,https://doem.org.br/ba/santacruzcabralia/diarios
2928059,BA,Santa Luzia,doem,descontinuado,2021-01-04,2024-01-29,http://doem.org.br/ba/santaluzia/diarios
2928406,BA,Santa Rita de Cássia,doem,atual,2021-01-04,2024-10-30,https://doem.org.br/ba/santaritadecassia/diarios
2928604,BA,Santo Amaro,doem,descontinuado,2013-01-03,2021-02-16,https://doem.org.br/ba/santoamaro/diarios
2928802,BA,Santo Estêvão,doem,atual,2009-11-09,2024-10-31,https://doem.org.br/ba/santoestevao/diarios
2929305,BA,São Gonçalo dos Campos,doem,descontinuado,2014-01-03,2016-11-30,https://doem.org.br/ba/saogoncalodoscampos/diarios
2929701,BA,Sátiro Dias,doem,atual,2021-03-30,2024-10-31,http://doem.org.br/ba/satirodias/diarios
2929800,BA,Saúde,doem,descontinuado,2013-01-25,2017-03-15,https://doem.org.br/ba/saude/diarios
2930105,BA,Senhor do Bonfim,doem,atual,2013-01-03,2024-10-31,http://doem.org.br/ba/senhordobonfim/diarios
2930204,BA,Sento Sé,doem,atual,2017-01-02,2024-10-31,https://doem.org.br/ba/sentose/diarios
2930402,BA,Serra Preta,doem,descontinuado,2012-01-04,2017-01-30,https://doem.org.br/ba/serrapreta/diarios
2930907,BA,Tabocas do Brejo Velho,doem,descontinuado,2013-01-04,2021-01-27,http://doem.org.br/ba/tabocasdobrejovelho/diarios
2931301,BA,Tapiramutá,doem,atual,2021-01-04,2024-11-01,https://doem.org.br/ba/tapiramuta/diarios
2931350,BA,Teixeira de Freitas,doem,descontinuado,2017-03-10,2022-07-26,http://doem.org.br/ba/teixeiradefreitas/diarios
2931608,BA,Teolândia,doem,atual,2014-01-15,2024-11-01,https://doem.org.br/ba/teolandia/diarios
2931905,BA,Tucano,doem,atual,2013-01-04,2024-11-01,http://doem.org.br/ba/tucano/diarios
4110508,PR,Ipiranga,doem,atual,2015-09-28,2024-10-31,https://doem.org.br/pr/ipiranga/diarios
4126702,PR,Tamboara,doem,atual,2022-08-22,2024-11-01,https://doem.org.br/pr/tamboara/diarios
