city,date_from,date_to,pattern,state,status,territory_id,url
João Dias,2022-03-21,2025-02-05,adiariosv1,RN,valido,2405900,https://www.joaodias.rn.gov.br/diariooficial.php
Juazeiro do Norte,2021-01-12,2025-02-07,adiariosv1,CE,valido,2307304,https://www.juazeirodonorte.ce.gov.br/diariooficial.php
Lago da Pedra,2018-12-31,2025-02-07,adiariosv1,MA,valido,2105708,https://www.lagodapedra.ma.gov.br/diariooficial.php
Lavras da Mangabeira,2024-03-14,2024-03-14,adiariosv1,CE,valido,2307502,https://www.lavrasdamangabeira.ce.gov.br/diariooficial.php
Lima Campos,2013-01-02,2025-02-07,adiariosv1,MA,valido,2106003,https://www.limacampos.ma.gov.br/diariooficial.php
Limoeiro do Norte,2017-04-10,2025-02-07,adiariosv1,CE,valido,2307601,https://www.limoeirodonorte.ce.gov.br/diariooficial.php
Luís Gomes,2018-04-03,2025-02-07,adiariosv1,RN,valido,2407005,https://www.luisgomes.rn.gov.br/diariooficial.php
Mãe do Rio,2022-08-24,2022-09-20,adiariosv1,PA,valido,1504059,https://www.prefeituramaedorio.pa.gov.br/diariooficial.php
Major Sales,0202-08-04,2025-02-05,adiariosv1,RN,valido,2407252,https://www.majorsales.rn.gov.br/diariooficial.php
Maracaçumé,2019-10-20,2025-02-07,adiariosv1,MA,valido,2106326,https://www.maracacume.ma.gov.br/diariooficial.php
Marizópolis,2021-01-27,2025-02-03,adiariosv1,PB,valido,2509156,https://www.marizopolis.pb.gov.br/diariooficial.php
Matões do Norte,2010-03-29,2025-02-07,adiariosv1,MA,valido,2106631,https://www.matoesdonorte.ma.gov.br/diariooficial.php
Milagres,2016-05-20,2024-08-30,adiariosv1,CE,valido,2308302,https://www.milagres.ce.gov.br/diariooficial.php
Mombaça,2017-03-24,2018-01-10,adiariosv1,CE,valido,2308500,https://www.mombaca.ce.gov.br/diariooficial.php
Monsenhor Tabosa,2022-01-03,2023-07-10,adiariosv1,CE,valido,2308609,https://www.monsenhortabosa.ce.gov.br/diariooficial.php
Moreilândia,2021-04-09,2025-02-03,adiariosv1,PE,valido,2614303,https://www.moreilandia.pe.gov.br/diariooficial.php
Morrinhos,2021-07-27,2022-03-31,adiariosv1,CE,valido,2308906,https://www.morrinhos.ce.gov.br/diariooficial.php
Mulungu,2021-02-04,2021-04-08,adiariosv1,CE,valido,2309102,https://www.mulungu.ce.gov.br/diariooficial.php
Nova Cruz,2013-04-01,2025-02-07,adiariosv1,RN,valido,2408300,https://www.novacruz.rn.gov.br/diariooficial.php
