city,date_from,date_to,pattern,state,status,territory_id,url
Arari,,,adiarios_v1,MA,invalido,2101004,https://qltuh.sierramountain.top/space-robot/?pl=CHiI7Gh3GUyTa8XGgNqDyQ&sm=space-robot&click_id=csig6hd3kl6c73d9h01g&nrid=fb61d6afa6aa47e5b9698005760a5043&hash=DhTbjxnPPmIG_CUvdOqvsg&exp=1730479219
Arari,,,adiarios_v1,MA,invalido,2101004,https://qltuh.sierramountain.top/space-robot/?pl=CHiI7Gh3GUyTa8XGgNqDyQ&sm=space-robot&click_id=csig6hd109qc73agls2g&nrid=0b10a70edcd54dcb8eebf5c4f0e07f2d&hash=DhTbjxnPPmIG_CUvdOqvsg&exp=1730479219
Araxá,,,adiarios_v1,MG,invalido,3104007,https://www.araxa.mg.gov.br/oops/404
Arcos,,,adiarios_v1,MG,invalido,3104205,https://www.arcos.mg.gov.br/diariooficial.php
Arcos,,,adiarios_v1,MG,invalido,3104205,https://www.arcos.mg.gov.br/index.php
Aquidabã,,,adiarios_v1,SE,invalido,2800209,https://www.aquidaba.se.gov.br
Arenópolis,,,adiarios_v1,GO,invalido,5202353,http://www.prefeituramunicipalarenopolis.go.gov.br/cgi-sys/suspendedpage.cgi
Arenópolis,,,adiarios_v1,GO,invalido,5202353,https://www.prefeituramunicipalarenopolis.go.gov.br/cgi-sys/suspendedpage.cgi
Ariranha,,,adiarios_v1,SP,invalido,3503703,https://www.ariranha.sp.gov.br/diariooficial.php
Ariranha do Ivaí,,,adiarios_v1,PR,invalido,4101853,https://www.ariranhadoivai.pr.gov.br/diariooficial.php
Arneiroz,,,adiarios_v1,CE,invalido,2301505,https://www.arneiroz.ce.gov.br/diariooficial.php
Aroazes,,,adiarios_v1,PI,invalido,2200905,https://aroazes.pi.gov.br/aroazes/portalnoticias
Aroeiras do Itaim,,,adiarios_v1,PI,invalido,2200954,https://transparencia.aroeirasdoitaim.pi.gov.br/aroeirasdoitaim
Arroio do Tigre,,,adiarios_v1,RS,invalido,4301206,http://www.arroiodotigre.rs.gov.br/site/
Arroio Grande,,,adiarios_v1,RS,invalido,4301305,https://www.arroiogrande.rs.gov.br/
Arujá,,,adiarios_v1,SP,invalido,3503901,https://www.prefeituradearuja.sp.gov.br/
Assaí,,,adiarios_v1,PR,invalido,4101903,https://www.assai.pr.gov.br/diariooficial.php
Artur Nogueira,,,adiarios_v1,SP,invalido,3503802,https://arturnogueira.sp.gov.br/site/
Assis,,,adiarios_v1,SP,invalido,3504008,https://www.assis.sp.gov.br/diariooficial.php
Assunção,,,adiarios_v1,PB,invalido,2501351,http://www.assuncao.pb.gov.br/cgi-sys/suspendedpage.cgi
Assunção,,,adiarios_v1,PB,invalido,2501351,https://www.assuncao.pb.gov.br/cgi-sys/suspendedpage.cgi
Áurea,,,adiarios_v1,RS,invalido,4301552,https://www.aurea.rs.gov.br/diariooficial.php
Bacabal,,,adiarios_v1,MA,invalido,2101202,https://www.bacabal.ma.gov.br/diariooficial.php
Baependi,,,adiarios_v1,MG,invalido,3104908,http://www.baependi.mg.gov.br/diariooficial.php
Baependi,,,adiarios_v1,MG,invalido,3104908,https://www.baependi.mg.gov.br/diariooficial.php
Baía da Traição,,,adiarios_v1,PB,invalido,2501401,https://www.baiadatraicao.pb.gov.br/error/404
Balneário Camboriú,,,adiarios_v1,SC,invalido,4202008,https://camboriu.sc.gov.br/
Balneário Gaivota,,,adiarios_v1,SC,invalido,4202073,https://www.balneariogaivota.sc.gov.br/
Bandeirantes do Tocantins,,,adiarios_v1,TO,invalido,1703057,https://www.bandeirantes.to.gov.br/ops/404
Barão de Grajaú,,,adiarios_v1,MA,invalido,2101509,http://www.baraodegrajau.ma.gov.br/diariooficial.php
Barão de Grajaú,,,adiarios_v1,MA,invalido,2101509,https://www.baraodegrajau.ma.gov.br/diariooficial.php
Barão de Grajaú,,,adiarios_v1,MA,invalido,2101509,https://www.grajau.ma.gov.br
Barbacena,,,adiarios_v1,MG,invalido,3105608,https://www.barbacena.mg.gov.br/diariooficial.php
Barra de Santa Rosa,,,adiarios_v1,PB,invalido,2501609,https://www.barradesantarosa.pb.gov.br/error/404
Barra de São Miguel,,,adiarios_v1,PB,invalido,2501708,https://www.barradesaomiguel.pb.gov.br/error/404
Barra do Bugres,,,adiarios_v1,MT,invalido,5101704,https://www.barradobugres.mt.gov.br/diariooficial.php
Barra do Garças,,,adiarios_v1,MT,invalido,5101803,https://www.barradogarcas.mt.gov.br/diariooficial.php
Barra do Ouro,,,adiarios_v1,TO,invalido,1703073,https://www.barradoouro.to.gov.br/ops/404
Barra do Ouro,,,adiarios_v1,TO,invalido,1703073,https://www.to.gov.br
Barra do Mendes,,,adiarios_v1,BA,invalido,2903003,https://www.barradomendes.ba.gov.br/erro/404
Barra do Piraí,,,adiarios_v1,RJ,invalido,3300308,http://portalbarradopirai.com.br
Barro Alto,,,adiarios_v1,BA,invalido,2903235,https://www.barroalto.ba.gov.br/erro/404
Batatais,,,adiarios_v1,SP,invalido,3505906,https://www.batatais.sp.gov.br/404.html
Belém,,,adiarios_v1,PB,invalido,2501906,https://www.belem.pb.gov.br/error/404
Belém do Brejo do Cruz,,,adiarios_v1,PB,invalido,2502003,https://www.belem.pb.gov.br/error/404
Belém do Brejo do Cruz,,,adiarios_v1,PB,invalido,2502003,https://www.belemdobrejodocruz.pb.gov.br/index.php
Barra dos Coqueiros,,,adiarios_v1,SE,invalido,2800605,https://www.barradoscoqueiros.se.gov.br
Beneditinos,,,adiarios_v1,PI,invalido,2201606,https://transparencia.beneditinos.pi.gov.br/beneditinos
Bento Gonçalves,,,adiarios_v1,RS,invalido,4302105,https://www.bentogoncalves.rs.gov.br/error
Bento Gonçalves,,,adiarios_v1,RS,invalido,4302105,http://www.bentogoncalves.rs.gov.br/error
Bertioga,,,adiarios_v1,SP,invalido,3506359,https://www.bertioga.sp.gov.br/diariooficial.php
